 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_135,2_24,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_135,2_24,,person,"Pitz, Wilhelm",chorleiter:in,
UAKUG/NIM_135,2_24,,person,"Aldenhoff, Bernd",sänger:in,
UAKUG/NIM_135,2_24,,person,"Uhde, Hermann",sänger:in,
UAKUG/NIM_135,2_24,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_135,2_24,,person,"Pflanzl, Heinrich",sänger:in,
UAKUG/NIM_135,2_24,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_135,2_24,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_135,2_24,,person,"Höngen, Elisabeth",sänger:in,
UAKUG/NIM_135,2_24,,person,"Deinert, Herbert",Beleuchter:in,
UAKUG/NIM_135,2_24,,person,"Schneider, Hugo",Beleuchter:in,
UAKUG/NIM_135,2_24,,ort,Bayreuth,auffuehrungsort,
UAKUG/NIM_135,2_24,,institution,Bayreuther Festspiele,rahmenveranstaltung,
UAKUG/NIM_135,2_24,,werk,Die Götterdämmerung,Aufführung,
UAKUG/NIM_135,2_24,,werk,Parsifal,erwähnt,
UAKUG/NIM_135,2_24,,werk,Die Meistersinger von Nürnberg,erwähnt,
UAKUG/NIM_135,2_24,,rolle,Siegfried,auftritt,
UAKUG/NIM_135,2_24,,rolle,Gunther,auftritt,
UAKUG/NIM_135,2_24,,rolle,Hagen,auftritt,
UAKUG/NIM_135,2_24,,rolle,Alberisch,auftritt,
UAKUG/NIM_135,2_24,,rolle,Brünnhilde,auftritt,
UAKUG/NIM_135,2_24,,rolle,Gutrune,auftritt,
UAKUG/NIM_135,2_24,,rolle,Waltraute,auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Siegfried, Bernd Aldenoff",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Gunther, Hermann Uhde",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Hagen, Ludwig Weber",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Alberisch, Heinrich Pflanzl",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Brünnhilde, Astrid Varnay",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Gutrune, Martha Mödl",auftritt,
UAKUG/NIM_135,2_24,,"rolle, Vorname Nachname Sänger*in","Waltraute, Elisabeth Höngen",auftritt,
UAKUG/NIM_135,2_25,,werk,Der Ring des Nibelungen,Aufführung,
UAKUG/NIM_135,2_25,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_135,2_25,,person,"Siewert, Ruth",sänger:in,
UAKUG/NIM_135,2_25,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_135,2_25,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_135,2_25,,person,"Schwarzkopf, Elisabeth",sänger:in,
UAKUG/NIM_135,2_25,,person,"Ludwig, Hanna",sänger:in,
UAKUG/NIM_135,2_25,,person,"Töpper, Hertha",sänger:in,
UAKUG/NIM_135,2_25,,person,"Hager, Paul",Regieassistent:in,
UAKUG/NIM_135,2_25,,person,"Jorissen, Ingrid",Kostümbildner:in,
UAKUG/NIM_135,2_25,,person,"Krott, Josef",Maskenbidner:in,
UAKUG/NIM_135,2_25,,person,"Eisenschmidt, Arthur",technische leitung,
UAKUG/NIM_135,2_25,,"ort, datum","Bayeuth, 1951-08-04",Aufführung,
UAKUG/NIM_135,2_25,,institution,Teldec,erwähnt,
UAKUG/NIM_135,2_25,,institution,Columbia Graphophone,erwähnt,
UAKUG/NIM_135,2_25,,rolle,Erste Norn,auftritt,
UAKUG/NIM_135,2_25,,rolle,Zweite Norn,auftritt,
UAKUG/NIM_135,2_25,,rolle,Dritte Norn,auftritt,
UAKUG/NIM_135,2_25,,rolle,Woglinde,auftritt,
UAKUG/NIM_135,2_25,,rolle,Wellgunde,auftritt,
UAKUG/NIM_135,2_25,,rolle,Floßhilde,auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Erste Norn, Ruth Siewert",auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Zweite Norn, Ira Malaniuk",auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Dritte Norn, Martha Mödl",auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Woglinde, Elisabeth Schwarzkopf",auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Wellgunde, Hanna Ludwig",auftritt,
UAKUG/NIM_135,2_25,,"rolle, Vorname Nachname Sänger*in","Floßhilde, Hertha Töpper",auftritt,
UAKUG/NIM_135,2_25,,"datum, werk","1951-08-04, Die Götterdämmerung",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-07-29, IX Symphonie",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","Beethoven, Ludwig van",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-07-30, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-07-31, Rheingold",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-01, Walküre",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-02, Siegfried",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-04, Götterdämmerung",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-05, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-07, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-08, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-10, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-11, Rheingold",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-12, Walküre",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-13, Siegfried",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-15, Götterdämmerung",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-16, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-18, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-19, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-21, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-22, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-24, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-25, Parsifal",Aufführung,
UAKUG/NIM_135,13_27,,"datum, werk","1951-08-26, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,13_28,,person,"Karajan, Herbert von",dirigent:in,
UAKUG/NIM_135,13_28,,person,"Hartmann, Rudolf Otto",regisseur:in,
UAKUG/NIM_135,13_28,,person,"Pitz, Wilhelm",chorleiter:in,
UAKUG/NIM_135,13_28,,person,"Reissinger, Hans C.",bühnenbildner:in,
UAKUG/NIM_135,13_28,,person,"Deinert, Herbert",Beleuchter:in,
UAKUG/NIM_135,13_28,,person,"Schneider, Hugo",Beleuchter:in,
UAKUG/NIM_135,13_28,,person,"Eisenschmidt, Arthur",technische leitung,
UAKUG/NIM_135,13_28,,person,"Hager, Paul",Regieassistent:in,
UAKUG/NIM_135,13_28,,person,"Kaulbach, Margarete",Kostümbildner:in,
UAKUG/NIM_135,13_28,,person,"Krott, Josef",Maskenbidner:in,
UAKUG/NIM_135,13_28,,person,"Dalberg, Friedrich",sänger:in,
UAKUG/NIM_135,13_28,,person,"Berg, Hans",sänger:in,
UAKUG/NIM_135,13_28,,person,"Janko, Josef",sänger:in,
UAKUG/NIM_135,13_28,,person,"Mikorey, Karl",sänger:in,
UAKUG/NIM_135,13_28,,person,"Tandler, Heinz",sänger:in,
UAKUG/NIM_135,13_28,,person,"Borst, Heinz",sänger:in,
UAKUG/NIM_135,13_28,,person,"Mill, Arnold van",sänger:in,
UAKUG/NIM_135,13_28,,person,"Edelmann, Otto",sänger:in,
UAKUG/NIM_135,13_28,,person,"Majkut, Erich",sänger:in,
UAKUG/NIM_135,13_28,,person,"Kunz, Erich",sänger:in,
UAKUG/NIM_135,13_28,,person,"Pflanzl, Heinrich",sänger:in,
UAKUG/NIM_135,13_28,,person,"Stolze, Gerhard",sänger:in,
UAKUG/NIM_135,13_28,,person,"Hopf, Hans",sänger:in,
UAKUG/NIM_135,13_28,,person,"Unger, Gerhard",sänger:in,
UAKUG/NIM_135,13_28,,person,"Schwarzkopf, Elisabeth",sänger:in,
UAKUG/NIM_135,13_28,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_135,13_28,,person,"Faulhaber, Werner",sänger:in,
UAKUG/NIM_135,13_28,,"ort, datum","Bayreuth, 1951-08-05",Aufführung,
UAKUG/NIM_135,13_28,,institution,Bayreuther Festspiele,rahmenveranstaltung,
UAKUG/NIM_135,13_28,,institution,Bayreuther Festspiele,auffuehrungsort,
UAKUG/NIM_135,13_28,,institution,"Städtische Bühnen (Nürnberg; Fürth, Bayern)",erwähnt,
UAKUG/NIM_135,13_28,,institution,Teldec,erwähnt,
UAKUG/NIM_135,13_28,,institution,Columbia Graphophone,erwähnt,
UAKUG/NIM_135,13_28,,werk,Die Meistersinger von Nürnberg,Aufführung,
UAKUG/NIM_135,13_28,,werk,Parsifal,erwähnt,
UAKUG/NIM_135,13_28,,rolle,Hans Sachs,auftritt,
UAKUG/NIM_135,13_28,,rolle,Veit Pogner,auftritt,
UAKUG/NIM_135,13_28,,rolle,Kunz Vogelsang,auftritt,
UAKUG/NIM_135,13_28,,rolle,Konrad Nachtigall,auftritt,
UAKUG/NIM_135,13_28,,rolle,Sixtus Beckmesser,auftritt,
UAKUG/NIM_135,13_28,,rolle,Fritz Kothner,auftritt,
UAKUG/NIM_135,13_28,,rolle,Balthasar Zorn,auftritt,
UAKUG/NIM_135,13_28,,rolle,Ulrich Eißlinger,auftritt,
UAKUG/NIM_135,13_28,,rolle,Augustin Moser,auftritt,
UAKUG/NIM_135,13_28,,rolle,Hermann Ortel,auftritt,
UAKUG/NIM_135,13_28,,rolle,Hans Schwarz,auftritt,
UAKUG/NIM_135,13_28,,rolle,Hans Foltz,auftritt,
UAKUG/NIM_135,13_28,,rolle,Walter von Stolzing,auftritt,
UAKUG/NIM_135,13_28,,rolle,David,auftritt,
UAKUG/NIM_135,13_28,,rolle,Eva,auftritt,
UAKUG/NIM_135,13_28,,rolle,Magdalena,auftritt,
UAKUG/NIM_135,13_28,,rolle,Nachtwächter,auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Hans Sachs, Otto Edelmann",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Veit Pogner, Friedrich Dalberg",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Kunz Vogelsang, Erich Majkut",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Konrad Nachtigall, Hans Berg",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Sixtus Beckmesser, Erich Kunz",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Fritz Kothner, Heinrich Pflanzl",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Balthasar Zorn, Josef Janko",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Ulrich Eißlinger, Karl Mikorey",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Augustin Moser, Gerhard Stolze",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Hermann Ortel, Heinz Tandler",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Hans Schwarz, Heinz Borst",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Hans Foltz, Arnold van Mill",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Walter von Stolzing, Hans Hopf",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","David, Gerhard Unger",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Eva, Elisabeth Schwarzkopf",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Magdalena, Ira Malaniuk",auftritt,
UAKUG/NIM_135,13_28,,"rolle, Vorname Nachname Sänger*in","Nachtwächter, Werner Faulhaber",auftritt,
UAKUG/NIM_135,13_28,,"datum, werk","1951-08-05, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-07-29, IX Symphonie",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","Beethoven, Ludwig van",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-07-30, Parsifal",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-07-31, Rheingold",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-08-01, Walküre",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-08-02, Siegfried",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-08-04, Götterdämmerung",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-08-05, Die Meistersinger von Nürnberg",Aufführung,
UAKUG/NIM_135,14_27,,"datum, werk","1951-08-07, Parsifal",Aufführung,
