 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_023,1_1,1.4,einnahmen_währung,"800, DM",abendgage,Je Auftritt Götterdämmerung
UAKUG/NIM_023,1_3,1,einnahmen_währung,"8600, DM",Gesamtvergütung,
UAKUG/NIM_023,1_4,,person,"Wagner, Wolfgang",unterzeichner:in,
UAKUG/NIM_023,1_4,,person,"Wagner, Wieland",unterzeichner:in,
UAKUG/NIM_023,1_4,,person,"Malaniuk, Ira",unterzeichner:in,
UAKUG/NIM_023,1_4,,ort,Bayreuth,vertragsort,
UAKUG/NIM_023,1_4,,Datum,1952-11-30,Unterschriftsdatum,
UAKUG/NIM_023,1_4,,Datum,1953-12-28,erwähnt,Eingesehen Schweizer Verrechnungsstele
UAKUG/NIM_023,1_4,,institution,Schweizerische Verrechnungsstelle,erwähnt,
,,,,,,
UAKUG/NIM_023,2,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_023,2,,Datum,1953-04-15,ausstellungsdatum,
UAKUG/NIM_023,2,1.1,Datum,1953-10-27,Aufführung,
UAKUG/NIM_023,2,1.2,Datum,1953-11-06,Aufführung,
UAKUG/NIM_023,2,,Datum,1953-10-21,Probenbeginn,
UAKUG/NIM_023,2,,institution,Radio Audizioni Italia,veranstalter:in,
UAKUG/NIM_023,2,1.1,werk,Das Rheingold,Aufnahme,
UAKUG/NIM_023,2,1.2,werk,Die Walküre,Aufnahme,
UAKUG/NIM_023,2,1.1,rolle,Fricka,Aufführung,
UAKUG/NIM_023,2,1.2,rolle,Rossweisse,Aufführung,
UAKUG/NIM_023,2,,einnahmen_währung,"430.000, Lire",Gesamtvergütung,
UAKUG/NIM_023,2,,summe_währung,"430.000, Lire",erwähnt,"Vertragsstrafe zu zahlen, von der vertragsbrechenden Partei"
UAKUG/NIM_023,3,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,3,,Datum,1953-08-12,Unterschriftsdatum,
,,,,,,
UAKUG/NIM_023,3,,Datum,1953-12-25/1954-01-12,Spielzeit,Vertragszeitaum (Probe+Auftritt)
UAKUG/NIM_023,3,,ort,Neapel,auffuehrungsort,
UAKUG/NIM_023,3,,ort,München,abreiseort,
UAKUG/NIM_023,3,,institution,Teatro di San Carlo,veranstalter:in,
UAKUG/NIM_023,3,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_023,3,,rolle,Brangäne,Aufführung,
UAKUG/NIM_023,3,,einnahmen_währung,"200.000, Lire",abendgage,3x Tristan und Isolde (je 200.000)
UAKUG/NIM_023,3,,ort,München,wohnort,
UAKUG/NIM_023,4,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,4,,Datum,1952-11-29,Unterschriftsdatum,
UAKUG/NIM_023,4,,Aktivität,Engagement Teatro di San Carlo,,
UAKUG/NIM_023,4,,Datum,1953-03-25/1953-04-09,Spielzeit,"korrigiertes Datum, in Quelle falsch auf 1952-04-09 datiert"
UAKUG/NIM_023,4,,ort,München,abreiseort,
UAKUG/NIM_023,4,,ort,Neapel,zielort,
UAKUG/NIM_023,4,,ort,München,wohnort,
UAKUG/NIM_023,4,,institution,Teatro di San Carlo,veranstalter:in,
UAKUG/NIM_023,4,1,werk,Die Götterdämmerung,Aufführung,
UAKUG/NIM_023,4,1.1,rolle,Waltraute,Aufführung,
UAKUG/NIM_023,4,1.2,rolle,Zweite Norn,Aufführung,
UAKUG/NIM_023,4,1,summe_währung,"280.000, Lire",Gage,3x Götterdämmerung (je 280.000)
UAKUG/NIM_023,4,1.1,einnahmen_währung,"200.000, Lire",abendgage,3x Waltraute (je 200.000)
UAKUG/NIM_023,4,1.2,einnahmen_währung,"80.000, Lire",abendgage,3x 2. Norn (je 80.000)
UAKUG/NIM_023,5,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,5,,person,"Fues, Willi",dirigent:in,
,,,,,,
,,,,,,
UAKUG/NIM_023,5,,Datum,1953-04-04,Aufführung,"korrigiertes Datum, in Quelle falsch auf 1954 datiert"
UAKUG/NIM_023,5,,Datum,1953-04-03,Probenbeginn,
UAKUG/NIM_023,5,,ort,Wuppertal,auffuehrungsort,
UAKUG/NIM_023,5,,institution,Chorgemeinschaft Wuppertal,veranstalter:in,
UAKUG/NIM_023,5,,institution,Volksbühne Wuppertal,veranstalter:in,
UAKUG/NIM_023,5,,werk,Lied von der Erde,Aufführung,
UAKUG/NIM_023,5,,person,"Mahler, Gustav",Komponist:in,
UAKUG/NIM_023,5,,einnahmen_währung,"850, DM",Gesamtvergütung,
UAKUG/NIM_023,5,,person,"Herminghaus, A. E.",unterzeichner:in,
UAKUG/NIM_023,6,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,6,,person,"Hartmann, Karl Amadeus",veranstalter:in,
UAKUG/NIM_023,6,,person,"Hartmann, Karl Amadeus",unterzeichner:in,
