 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_168,2_3,,person,"Wagner, Wolfgang",verfasser:in,
UAKUG/NIM_168,2_3,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_168,2_3,,Datum,1990-12,absendedatum,
UAKUG/NIM_168,2_3,,ort,Bayreuth,absendeort,
UAKUG/NIM_168,2_1,,person,"Wagner, Richard",erwähnt,
UAKUG/NIM_168,2_1,,person,"Kietz, Ernst Benedikt",erwähnt,
UAKUG/NIM_168,2_1,,Datum,1850-09-14,erwähnt,
UAKUG/NIM_168,2_1,,Datum,1877-09-15,erwähnt,
UAKUG/NIM_168,2_1,,institution,Bayreuther Festspiele,rahmenveranstaltung,
UAKUG/NIM_168,2_1,,person,"Wagner, Wieland",erwähnt,
UAKUG/NIM_168,2_2,,person,"Wagner, Richard",erwähnt,
UAKUG/NIM_168,2_2,,dokument,Festspielbuch 1951,erwähnt,
UAKUG/NIM_168,2_2,,person,"Wagner, Wolfgang",erwähnt,
UAKUG/NIM_168,2_2,,ereignis,Bayreuther Festspiele,rahmenveranstaltung,
