 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_003,1_1,,person,Sommerkurse Deutsches Musikinstitut für Ausländer,adressat:in,
UAKUG/NIM_003,1_1,,institution,Deutsches Musikinstitut für Ausländer,Absender:in,
UAKUG/NIM_003,1_1,1,ort,Potsdam,auffuehrungsort,
UAKUG/NIM_003,1_1,2,ort,Salzburg,auffuehrungsort,
UAKUG/NIM_003,1_1,,Datum,1944-05 bis 1944-09,erwähnt,
UAKUG/NIM_003,1_1,,ausgaben_währung,"15, RM",erwähnt,Reichsmark
UAKUG/NIM_003,1_8,,ausgaben_währung,"150, RM",erwähnt,Reichsmark
UAKUG/NIM_003,1_2,,person,"Strauss, Richard",erwähnt,
UAKUG/NIM_003,1_2,,person,"Fischer, Edwin",erwähnt,
UAKUG/NIM_003,1_2,,person,"Gieseking, Walter",erwähnt,
UAKUG/NIM_003,1_2,,person,"Hartmann, Rudolf",erwähnt,
UAKUG/NIM_003,1_2,,person,"Heitmann, Fritz",erwähnt,
UAKUG/NIM_003,1_2,,person,"Hoelscher, Ludwig",erwähnt,
UAKUG/NIM_003,1_2,,person,"Hüni-Mihacsek, Felicie",erwähnt,
UAKUG/NIM_003,1_2,,person,"Kempff, Wilhelm",erwähnt,
UAKUG/NIM_003,1_2,,person,"Krauß, Clemens",erwähnt,
UAKUG/NIM_003,1_2,,person,"Kulenkampff, Georg",erwähnt,
UAKUG/NIM_003,1_2,,person,"Leimer, Karl",erwähnt,
UAKUG/NIM_003,1_2,,person,"Lohmann, Paul",erwähnt,
UAKUG/NIM_003,1_2,,person,"Mahlke, Hans",erwähnt,
UAKUG/NIM_003,1_2,,person,"Martienssen-Lohmann, Franziska",erwähnt,
UAKUG/NIM_003,1_2,,person,"Marx, Joseph",erwähnt,
UAKUG/NIM_003,1_2,,person,"Moratti, Vittorino",erwähnt,
UAKUG/NIM_003,1_2,,person,"Ney, Elly",erwähnt,
UAKUG/NIM_003,1_2,,person,"Pirchan, Emil",erwähnt,
UAKUG/NIM_003,1_2,,person,"Prihoda, Vasa",erwähnt,
UAKUG/NIM_003,1_2,,person,"Ramin, Günther",erwähnt,
