 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,9,,person,"Wagner, Wieland",Leitung,
UAKUG/NIM_073,9,,person,"Wagner, Wolfgang",Leitung,
UAKUG/NIM_073,9,,person,"Karajan, Herbert von",dirigent:in,
UAKUG/NIM_073,9,,person,"Mödl, Martha",interpret:in,
UAKUG/NIM_073,9,,person,"Varnay, Astrid",interpret:in,
UAKUG/NIM_073,9,,person,"Vinay, Ramon",interpret:in,
UAKUG/NIM_073,9,,person,"Weber, Ludwig",interpret:in,
UAKUG/NIM_073,9,,person,"Malaniuk, Ira",interpret:in,
UAKUG/NIM_073,9,,person,"Hotter, Hans",interpret:in,
UAKUG/NIM_073,9,,person,"Uhde, Hermann",interpret:in,
UAKUG/NIM_073,9,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_073,9,,person,"Edelmann, Otto",interpret:in,
UAKUG/NIM_073,9,,person,"Böhme, Kurt",interpret:in,
UAKUG/NIM_073,9,,person,"Faulhaber, Werner",interpret:in,
UAKUG/NIM_073,9,,person,"Schwarzkopf, Elisabeth",interpret:in,
UAKUG/NIM_073,9,,person,"Della Casa, Lisa",interpret:in,
UAKUG/NIM_073,9,,person,"Hopf, Hans",interpret:in,
UAKUG/NIM_073,9,,person,"Malaniuk, Ira",interpret:in,
UAKUG/NIM_073,9,,person,"Pflanzl, Heinrich",interpret:in,
UAKUG/NIM_073,9,,person,"Unger, Gerhard",interpret:in,"Korrektur, In der Quelle ""Gertrud Unger"" -> Überprüft mit Gegenquellen"
UAKUG/NIM_073,9,,person,"Windgassen, Wolfgang",interpret:in,
UAKUG/NIM_073,9,,person,"London, George",interpret:in,
UAKUG/NIM_073,9,,person,"Aldenhoff, Bernd",interpret:in,
UAKUG/NIM_073,9,,person,"Borkh, Inge",interpret:in,
UAKUG/NIM_073,9,,person,"Bugarinanovic, Melanie",interpret:in,
UAKUG/NIM_073,9,,person,"Faulhaber, Werner",interpret:in,
UAKUG/NIM_073,9,,person,"Greindl, Josef",interpret:in,
UAKUG/NIM_073,9,,person,"Kuen, Paul",interpret:in,
UAKUG/NIM_073,9,,person,"Neidlinger, Gustav",interpret:in,
UAKUG/NIM_073,9,,person,"Siewert, Ruth",interpret:in,
UAKUG/NIM_073,9,,person,"Treptow, Günther",interpret:in,
UAKUG/NIM_073,9,,person,"Witte, Erich",interpret:in,
UAKUG/NIM_073,9,,person,"Keilberth, Joseph",dirigent:in,
UAKUG/NIM_073,9,,Datum,1952,rahmenveranstaltung,
UAKUG/NIM_073,9,,institution,Bayreuther Festspiele,rahmenveranstaltung,
UAKUG/NIM_073,9,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_073,9,,werk,Die Meistersinger von Nürnberg,Aufführung,
UAKUG/NIM_073,9,,werk,Parsifal,Aufführung,
UAKUG/NIM_073,9,,werk,Der Ring des Nibelungen,Aufführung,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,,,,,,
UAKUG/NIM_073,19,,person,"Malaniuk, Ira",interpret:in,
UAKUG/NIM_073,19,,person,"Della Casa, Lisa",interpret:in,
UAKUG/NIM_073,19,,rolle,Evchen,auftritt,
UAKUG/NIM_073,19,,rolle,Brangäne,auftritt,
UAKUG/NIM_073,19,,rolle,Magdalene,auftritt,
UAKUG/NIM_073,19,,Datum,1952-08-09/1952-08-10,erscheinungsdatum,
UAKUG/NIM_073,19,,institution,Kieler Nachrichten,herausgeber:in,
UAKUG/NIM_073,19,,institution,Bayreuther Festspiele,rahmenveranstaltung,
UAKUG/NIM_073,19,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_073,19,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_073,19,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_073,19,,ort,Bayreuth,auffuehrungsort,
UAKUG/NIM_073,19,,person,"Wagner, Gertrud",choreograph:in,
UAKUG/NIM_073,19,,person,"Wagner, Wieland Gottfried",interpret:in,
UAKUG/NIM_073,19,,rolle,Edelkomparse,auftritt,
UAKUG/NIM_073,19,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_073,19,,person,"Karajan, Herbert von",dirigent:in,
UAKUG/NIM_073,19,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_073,19,,institution,Teatro alla Scala,erwähnt,
UAKUG/NIM_073,19,,person,"Toscanini, Arturo",erwähnt,
UAKUG/NIM_073,19,,person,"Keilberth, Joseph",dirigent:in,
UAKUG/NIM_073,19,,werk,Der Ring des Nibelungen,Aufführung,
UAKUG/NIM_073,19,,werk,Lohengrin,Aufführung,
UAKUG/NIM_073,19,,person,"Vinay, Ramon",interpret:in,
UAKUG/NIM_073,19,,rolle,Tristan,auftritt,
UAKUG/NIM_073,19,,person,"Varnay, Astrid",interpret:in,
UAKUG/NIM_073,19,,rolle,Isolde,auftritt,
UAKUG/NIM_073,19,,person,"Mödl, Martha",interpret:in,
UAKUG/NIM_073,30_1,,person,"Keilberth, Joseph",dirigent:in,
UAKUG/NIM_073,30_1,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_073,30_1,,person,"Windgassen, Wolfgang",sänger:in,
