 ,Folio,data_id,typ,name,rolle,anmerkung
UAKUG/NIM_139,110,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_139,110,,Datum,1956,erwähnt,
UAKUG/NIM_139,110,,ort,Paris,erwähnt,
UAKUG/NIM_139,110,,ort,Zürich,zielort,
UAKUG/NIM_139,110,,ort,Wien,absendeort,
UAKUG/NIM_139,125,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,125,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,125,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,125,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,125,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,125,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,125,,Datum,1956-05-13,erscheinungsdatum,
UAKUG/NIM_139,125,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,125,,institution,Le Temps de Paris,herausgeber:in,
UAKUG/NIM_139,125,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,125,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,125,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,125,,rolle,Isolde,auftritt,
UAKUG/NIM_139,125,,rolle,Tristan,auftritt,
UAKUG/NIM_139,125,,person,"Massard, Robert",sänger:in,
UAKUG/NIM_139,125,,"Rolle, Person","Isolde, Astrid Varnay",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Tristan, Ludwig Suthaus",auftritt,
UAKUG/NIM_139,125,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,125,,rolle,König Marke,auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Kurwenal, Paul Schöffler",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","König Marke, Ludwig Weber",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Fricka, Ira Malaniuk",erwähnt,
UAKUG/NIM_139,125,,person,"Flagstadt, Kirsten",erwähnt,
UAKUG/NIM_139,125,,werk,Salome,erwähnt,
UAKUG/NIM_139,125,,person,"Mozart, Wolfgang Amadeus",erwähnt,
UAKUG/NIM_139,125,,person,"Glotz, Michel",verfasser:in,
UAKUG/NIM_139,126,,person,Claredon,verfasser:in,
UAKUG/NIM_139,126,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,126,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,126,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,126,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,126,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,126,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,126,,Datum,1956-05-13,erscheinungsdatum,
UAKUG/NIM_139,126,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,126,,institution,Le Figaro,herausgeber:in,
UAKUG/NIM_139,126,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,126,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,126,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,126,,rolle,Isolde,auftritt,
UAKUG/NIM_139,126,,rolle,Tristan,auftritt,
UAKUG/NIM_139,126,,person,"Massard, Robert",sänger:in,
UAKUG/NIM_139,126,,"Rolle, Person","Isolde, Astrid Varnay",auftritt,
UAKUG/NIM_139,126,,"Rolle, Person","Tristan, Ludwig Suthaus",auftritt,
UAKUG/NIM_139,127,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,127,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,127,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,127,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,127,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,127,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,127,,Datum,1956-05-17,erscheinungsdatum,
UAKUG/NIM_139,127,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,127,,institution,Les Nouvelles Littéraires,herausgeber:in,
UAKUG/NIM_139,127,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,127,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,127,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,127,,rolle,Isolde,auftritt,
UAKUG/NIM_139,127,,rolle,Brangäne,auftritt,
UAKUG/NIM_139,127,,rolle,Tristan,auftritt,
UAKUG/NIM_139,127,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,127,,rolle,König Marke,auftritt,
UAKUG/NIM_139,127,,person,"Massard, Robert",sänger:in,
UAKUG/NIM_139,127,,person,"Rialland, Louis",sänger:in,
UAKUG/NIM_139,127,,person,"Rouquetty, Camille",sänger:in,
UAKUG/NIM_139,127,,person,"Alvès, Georges",sänger:in,Vorname unbekannt
UAKUG/NIM_139,127,,werk,Sampiero Corso,erwähnt,
UAKUG/NIM_139,127,,person,"Tomasi, Henri",erwähnt,
UAKUG/NIM_139,128,,person,"Varnay, Astrid",sänger:in,Korrektur. Im Original: Astrid Warnay
UAKUG/NIM_139,128,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,128,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,128,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,128,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,128,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,128,,Datum,1956-05-13,erscheinungsdatum,
UAKUG/NIM_139,128,,ort,Bayreuth,erwähnt,
UAKUG/NIM_139,128,,ort,Paris,auffuehrungsort,
UAKUG/NIM_139,128,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,128,,institution,francesoir,herausgeber:in,
UAKUG/NIM_139,128,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,128,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,128,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,128,,rolle,Isolde,auftritt,
UAKUG/NIM_139,128,,rolle,Brangäne,auftritt,
UAKUG/NIM_139,128,,rolle,Tristan,auftritt,
UAKUG/NIM_139,128,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,128,,rolle,König Marke,auftritt,
UAKUG/NIM_139,129,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,129,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,129,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,129,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,129,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,129,,Datum,1956-05-13,erscheinungsdatum,
UAKUG/NIM_139,129,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,129,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,129,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,129,,rolle,Isolde,auftritt,
UAKUG/NIM_139,129,,rolle,Brangäne,auftritt,
UAKUG/NIM_139,129,,rolle,Tristan,auftritt,
UAKUG/NIM_139,129,,institution,Le Journal du Dimanche,herausgeber:in,
UAKUG/NIM_139,,,,,,
UAKUG/NIM_139,,,,,,
UAKUG/NIM_139,,,,,,
UAKUG/NIM_139,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
UAKUG/NIM_142,19_3,,person,"Elisabeth, Königin, Belgien",Publikum,
UAKUG/NIM_142,19_3,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_142,19_3,,person,"Mallarme, Stéphane",verfasser:in,
UAKUG/NIM_142,19_3,,ort,Brüssel,auffuehrungsort,
UAKUG/NIM_142,19_3,,institution,Bayreuther Festspiele,gastspiel,
UAKUG/NIM_142,19_3,,institution,Theatre Royale de la Monnaie,auffuehrungsort,
UAKUG/NIM_142,19_5,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_142,19_5,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_142,19_5,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_142,19_5,,person,"Windgassen, Wolfgang",sänger:in,
UAKUG/NIM_142,19_5,,person,"Greindl, Josef",sänger:in,
UAKUG/NIM_142,19_5,,person,"Neidlinger, Gustav",sänger:in,Original: Gustave Neidlinger
UAKUG/NIM_142,19_5,,person,"Blankenheim, Toni",sänger:in,
UAKUG/NIM_142,19_5,,person,"Stolze, Gerhard",sänger:in,
UAKUG/NIM_142,19_5,,person,"Tobin, Gené",sänger:in,
UAKUG/NIM_142,19_5,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_142,19_5,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_142,19_5,,person,"Keilberth, Josef",dirigent:in,
UAKUG/NIM_142,19_5,,ort,Brüssel,Aufführung,
UAKUG/NIM_142,19_5,,institution,Bayreuther Festspiele,gastspiel,
UAKUG/NIM_142,19_5,,institution,Theatre Royale de la Monnaie,auffuehrungsort,
UAKUG/NIM_142,19_5,,werk,Tristan und Isolde,auftritt,
UAKUG/NIM_142,19_5,,rolle,Isolde,auftritt,
UAKUG/NIM_142,19_5,,rolle,Brangäne,auftritt,
UAKUG/NIM_142,19_5,,rolle,Tristan,auftritt,
UAKUG/NIM_142,19_5,,rolle,König Marke,auftritt,
UAKUG/NIM_142,19_5,,rolle,Kurwenal,auftritt,
UAKUG/NIM_142,19_5,,rolle,Melot,auftritt,
UAKUG/NIM_142,19_5,,rolle,Steuermann,auftritt,
UAKUG/NIM_142,19_5,,rolle,Hirte,auftritt,
UAKUG/NIM_142,19_5,,rolle,Seemann,auftritt,
UAKUG/NIM_142,19_5,,ensemble,Orchestre du Theatre Royale de la Monnaie,auftritt,
UAKUG/NIM_142,20,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_142,20,,person,"Wagner, Wieland",verfasser:in,
UAKUG/NIM_142,20,,person,"Wagner, Gertrud",verfasser:in,
UAKUG/NIM_142,22_4,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_142,22_4,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_142,22_4,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_142,22_4,,person,"Windgassen, Wolfgang",sänger:in,
UAKUG/NIM_142,22_4,,person,"Greindl, Josef",sänger:in,
UAKUG/NIM_142,22_4,,person,"Neidlinger, Gustav",sänger:in,
UAKUG/NIM_142,22_4,,person,"Blankenheim, Toni",sänger:in,
UAKUG/NIM_142,22_4,,person,"Stolze, Gerhard",sänger:in,
UAKUG/NIM_142,22_4,,person,"Kuën, Paul",sänger:in,
UAKUG/NIM_142,22_4,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_142,22_4,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_142,22_4,,person,"Keilberth, Josef",dirigent:in,
UAKUG/NIM_142,22_4,,rolle,Isolde,auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Isolde, Martha Mödl",auftritt,
UAKUG/NIM_142,22_4,,rolle,Brangäne,auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Brangäne, Ira Malaniuk",auftritt,
UAKUG/NIM_142,22_4,,Datum,1954-12-03,Aufführung,
UAKUG/NIM_142,22_4,,Datum,1954-12-05,Aufführung,
UAKUG/NIM_142,22_4,,Datum,1954-12-01,Aufführung,
UAKUG/NIM_142,22_4,,ort,Bayreuth,erwähnt,
UAKUG/NIM_142,22_4,,ort,Brüssel,auffuehrungsort,
UAKUG/NIM_142,22_4,,institution,Bayreuther Festspiele,gastspiel,
UAKUG/NIM_142,22_4,,institution,Theatre Royale de la Monnaie,auffuehrungsort,
UAKUG/NIM_142,22_4,,werk,Tristan und Isolde,auftritt,
UAKUG/NIM_142,22_4,,rolle,Tristan,auftritt,
UAKUG/NIM_142,22_4,,rolle,König Marke,auftritt,
UAKUG/NIM_142,22_4,,rolle,Kurwenal,auftritt,
UAKUG/NIM_142,22_4,,rolle,Melot,auftritt,
UAKUG/NIM_142,22_4,,rolle,Steuermann,auftritt,
UAKUG/NIM_142,22_4,,rolle,Hirte,auftritt,
UAKUG/NIM_142,22_4,,rolle,Seemann,auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Tristan, Wolfgang Windgassen",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","König Marke, Josef, Greindl",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Kurwenal, Gustav Neidlinger",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Steuermann, Toni Blankenheim",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Melot, Toni Blankenheim",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Hirte, Gerhard Stolze",auftritt,
UAKUG/NIM_142,22_4,,"Rolle, Person","Matelot, Paul Kuën",auftritt,
UAKUG/NIM_142,22_18,,person,"Elisabeth, Königin, Belgien",Publikum,
UAKUG/NIM_142,22_18,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_142,22_18,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_142,22_18,,Datum,1954-12-01,Aufführung,
UAKUG/NIM_142,22_18,,institution,Bayreuther Festspiele,gastspiel,
UAKUG/NIM_142,22_18,,institution,Theatre Royale de la Monnaie,auffuehrungsort,
UAKUG/NIM_142,22_18,,werk,Tristan und Isolde,auftritt,
UAKUG/NIM_142,22_18,,person,"Keilberth, Josef",dirigent:in,
UAKUG/NIM_142,22_18,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_142,22_18,,rolle,Tristan,auftritt,
UAKUG/NIM_142,22_18,,rolle,König Marke,auftritt,
UAKUG/NIM_142,22_18,,rolle,Kurwenal,auftritt,
UAKUG/NIM_142,22_18,,rolle,Melot,auftritt,
UAKUG/NIM_142,22_18,,rolle,Steuermann,auftritt,
UAKUG/NIM_142,22_18,,rolle,Hirte,auftritt,
UAKUG/NIM_142,22_18,,rolle,Seemann,auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Tristan, Wolfgang Windgassen",auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","König Marke, Josef, Greindl",auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Kurwenal, Gustav Neidlinger",auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Steuermann, Toni Blankenheim",auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Melot, Toni Blankenheim",auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Hirte, Gerhard Stolze",auftritt,
