1,archivsignatur,folio nr,titel,entstehungsdatum,datierungsevidenz,dokumenttyp,sprache,umfang,bearbeiter:in,erfassungsdatum,Bearbeitungsstand,Objekttabelle,Verknüpfungstabelle,Werkindex,Ortsindex,Organisationsindex,Personenindex
1,UAKUG/NIM_003,1_1,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_2,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_3,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_4,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_5,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_6,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_7,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_8,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_9,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_003,1_10,"Deutsches Musikinstitut für Ausländer, Programmheft Sommerkurs 1944, Potsdam und Salzburg (korrigiert)",1944-01-01/1944-12-31,aus_dokument,programm,de,,,2026-02-11,zurückgestellt,,,,,,
1,UAKUG/NIM_004,Folio,Kritiken ,,,sammlung,,,,2026-02-11,,,,,,,
1,UAKUG/NIM_004,1,"Kopie eines Briefumschlags adressiert an Malaniuk, Signatur und Poststempel aus New York",1959-10-28,aus_dokument,photokopie,"en, fr","1 Blatt, 1 Seite",NML,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,2,Rezension zu Lady Macbeth in der Verdi- Premiere der Staatsoper,1952-12-16,aus_dokument,rezension,de,"1 Blatt, 1 Seite",,2026-02-12,begonnen,,,,,,
1,UAKUG/NIM_004,3,Rezension von Karl Schumann zu Macbeth,1952-12-17,aus_dokument,rezension,de,"1 Blatt, 1 Seite",,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,4,Rezension von H. Schmidt-Garre zu Macbeth an der Bayerischen Staatsoper,1952-12-18,aus_dokument,rezension,de,"1 Blatt, 1 Seite",NKS,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,5,Rezension von K.H. Ruppel zu Orpheus und Eurydike in der Süddeutschen Zeitung,1963-03-06,aus_dokument,rezension,de,"1 Blatt, 1 Seite",,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,6,Rezension von Karl Schumann zur Premiere von Orpheus und Eurydike ,,unbekannt,rezension,de,"1 Blatt, 1 Seite",NML,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,7,Rezension von Dr. Joachim Bergfeld (Fränkische Presse) zur IX. Symphonie Beethovens,1953-08-13,aus_dokument,rezension,de,"1 Blatt, 1 Seite",NML,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,8,Rezension von Helmut Schmidt-Garre,1953-03-06,aus_dokument,rezension,de,"1 Blatt, 1 Seite",SSL,2026-02-12,begonnen,,,,,,
1,UAKUG/NIM_004,9,Rezension von A. Parente zu Tristan und Isolde in Neapel,1954-01-08,aus_dokument,rezension,it,"1 Blatt, 1 Seite",,2026-02-12,begonnen,,,,,,
1,UAKUG/NIM_004,10,"Rezensionen aus der Fränkischen Presse zu ""Die Götterdämmerung"" und ""Tristan und Isolde""",1953-08-01,aus_dokument,rezension,de,"1 Batt, 1 Seite",NML,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,11,Rezension zu Paul Hindemith in Köln,1954-03-31,aus_dokument,rezension,de,"1 Batt, 1 Seite",QH,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,12,Rezension von Dr. Kurt Honolka zu Titus,1954-07-06,aus_dokument,rezension,de,"1 Blatt, 1 Seite ",SSL,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,13,Rezension zur Festvorstellung Meistersinger aus dem Münchner Merkur,1954-08-14,aus_dokument,rezension,de,"1 Blatt, 1 Seite",NML,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,14,Rezension von ZED. zu Le Chant de la Terre in Straßburg unter Fritz Munch,1954-10-28,aus_dokument,rezension,fr,"1 Blatt, 1 Seite",NKS,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,15,Rezension von Y. zu Tannhäuser,1956-10-21,aus_dokument,rezension,de,"1 Blatt, 1 Seite",SSL,2026-02-17,vollständig,,,,,,
1,UAKUG/NIM_004,16,Rezension von Y. zu Aida an der Wiener Staatsoper,1956-05-01,aus_dokument,rezension,de,"1 Blatt, 1 Seite",NML,2026-02-15,vollständig,,,,,,
1,UAKUG/NIM_004,17,Rezension von ibe zu Aida an der Wiener Staatsoper,1956-05-02,aus_dokument,rezension,de,"1 Blatt, 1 Seite",NML,2026-02-15,vollständig,,,,,,
1,UAKUG/NIM_004,18,Rezension von Paul Tinel zu Tristan und Isolde am Teatre La Monnaie,,unbekannt,rezension,fr,"1 Blatt, 1 Seite",CN,2026-02-13,begonnen,,,,,,
1,UAKUG/NIM_004,19,Rezension von René Dumesnil zu Tristan und Isolde in Paris,1956-05-13/1956-05-14,aus_dokument,rezension,fr,"1 Blatt, 1 Seite",CN,2026-02-13,vollständig,,,,,,
1,UAKUG/NIM_004,20,,,,,,,,,,,,,,,
1,UAKUG/NIM_004,21,,,,,,,,,,,,,,,
1,UAKUG/NIM_004,22,Brief von Ira Malaniuk an Cox vom 07.09.1957,1957-09-07,aus_dokument,korrespondenz,de,"1 Blatt, 1 Seite",NKS,2026-02-12,,,,,,,
1,UAKUG/NIM_004,23,Brief von Ira Malaniuk an Cox vom 26.11.1957,1957-11-26,aus_dokument,korrespondenz,de,"1 Blatt, 1 Seite",QH,2026-02-12,vollständig,,,,,,
